orb_radius,period
1.29,326.03
1.53,516.21997
0.83,185.84
2.93,1773.4000199999998
1.66,798.5
2.6,993.3
0.19,30.3506
1.3330000000000002,452.8
2.08,883.0
0.92,416.0
0.99,335.10001
0.87,269.3
1.19,479.1
2.1,1078.0
3.6,2391.0
0.0527,4.230785
0.115227,14.651520000000001
0.24137600000000006,44.4175
5.502999999999999,4825.0
0.01544,0.736539
0.7879999999999999,262.0
2.11,934.3
0.050201,4.215
0.2175,38.021
0.47600000000000003,123.01
1.93,796.0
0.48100000000000004,116.68799999999999
2.1,691.9
0.49,93.4
2.5,952.7
0.7,181.4
1.3,481.9
0.78,268.94
0.5760000000000001,153.22
0.539,137.48
1.05,379.63
2.01,621.99
1.3,578.2
1.0,392.6
1.7,733.0
4.2,2590.0
0.0428,3.8728
0.435,125.94
0.06,5.6
0.68,237.6
0.04,3.48777
2.28,1667.0
1.66,714.2999900000001
1.34,655.59998
0.1055,13.2406
0.0436,2.9943299999999997
0.04016,2.828042
0.051,4.03519
0.027000000000000003,1.51214
0.0618,5.35227
0.0461,3.7681
0.0295,1.9000693
0.0518,3.89713
0.02798,1.7429935
0.09,9.24285
2.9,1675.0
0.0417,2.72474
0.092,9.755980000000001
0.048,3.6313
0.055999999999999994,5.1134
0.098,11.759
0.0578,4.86069
0.0526,4.20474
0.0476,3.5753199999999996
0.0603,5.2085099999999995
0.0386,2.8505700000000003
0.09,9.20205
0.04947,4.0378962
0.0855,8.886593
0.046,3.698
0.063,6.21229
0.4021,95.27265600000001
0.071,6.718369999999999
0.36,246.36
0.131,21.169860999999997
0.1493,19.49221
0.0134,0.571331
0.1091,13.339079000000002
0.07229,6.180235
0.0153,1.628931
0.0476,8.929
0.166,41.38
0.912,532.58
0.01411,1.58040456
0.026000000000000002,3.6511
0.0607,8.63182
0.1254,25.63058
1.0304,603.95116
2.41,2288.0
0.091101,18.6498
0.036467,4.7234
0.49,133.71
0.0197,1.22003
0.057,5.974
0.698,257.8
1.15,692.0
4.5,4100.0
0.14339000000000002,30.5987
0.36175,122.6196
0.19394,48.1345
0.08208,13.2543
0.03282,5.3636
0.1264,40.54
0.08900000000000001,14.207
0.031,3.3366487
0.0287,2.64561
0.026000000000000002,3.0232
0.0608,6.905
0.028999999999999998,2.64977
0.08900000000000001,13.74
0.06,7.3709
0.0291,2.64388312
0.06661,8.7076
0.04061,5.3686
0.0721,12.914000000000001
